[202.0942,200.2164]
[198.3706,196.5777]
[194.8580,193.2310]
[191.7151,190.3275]
[189.0840,187.9985]
[187.0834,186.3492]
[185.8040,185.4541]
[185.3034,185.3537]
[185.6043,186.0525]
[186.6931,187.5190]
[188.5206,189.6868]
[191.0043,192.4581]
[194.0317,195.7075]
[197.4663,199.2882]
[201.1526,203.0384]
[870.5277,214.0009,18.5054]
[889.0331,888.9283]
[888.6150,888.0967]
[887.3794,886.4711]
[885.3822,884.1250]
[882.7137,881.1644]
[879.4945,877.7230]
[875.8700,873.9565]
[872.0041,870.0350]
[868.0715,866.1358]
[864.2499,862.4351]
[860.7120,859.1001]
[857.6177,856.2815]
[855.1068,854.1068]
[853.2929,852.6742]
[852.2578,852.0485]
[852.0485,852.2578]
[852.6742,853.2929]
[854.1068,855.1068]
[856.2815,857.6177]
[859.1001,860.7120]
[862.4351,864.2499]
[866.1358,868.0715]
[870.0350,872.0041]
[873.9565,875.8700]
[877.7230,879.4945]
[881.1644,882.7137]
[884.1250,885.3822]
[886.4711,887.3794]
[888.0967,888.6150]
[888.9283,889.0331]
[214.0009,215.9679]
[217.9126,219.8130]
[221.6475,223.3954]
[225.0369,226.5533]
[227.9275,229.1439]
[230.1887,231.0501]
[231.7184,232.1859]
[232.4473,232.4997]
[232.3426,231.9776]
[231.4089,230.6430]
[229.6886,228.5563]
[227.2592,225.8118]
[224.2307,222.5336]
[220.7398,218.8697]
[216.9444,214.9858]
[213.0160,211.0573]
[209.1320,207.2619]
[205.4681,203.7710]
[202.1899,200.7425]
[199.4454,198.3132]
[197.3587,196.5928]
[196.0241,195.6591]
[195.5020,195.5544]
[195.8158,196.2833]
[196.9516,197.8130]
[198.8578,200.0742]
[201.4484,202.9648]
[204.6063,206.3542]
[208.1887,210.0891]
[212.0338,214.0009]
[48.0470,594.4937,17.6238]
[65.6708,65.5710]
[65.2726,64.7790]
[64.0958,63.2309]
[62.1938,60.9965]
[59.6525,58.1769]
[56.5866,54.8996]
[53.1349,51.3125]
[49.4532,47.5779]
[45.7079,43.8644]
[42.0684,40.3400]
[38.6990,37.1639]
[35.7521,34.4797]
[33.3609,32.4085]
[31.6334,31.0442]
[30.6476,30.4482]
[30.4482,30.6476]
[31.0442,31.6334]
[32.4085,33.3609]
[34.4797,35.7521]
[37.1639,38.6990]
[40.3400,42.0684]
[43.8644,45.7079]
[47.5779,49.4532]
[51.3125,53.1349]
[54.8996,56.5866]
[58.1769,59.6525]
[60.9965,62.1938]
[63.2309,64.0958]
[64.7790,65.2726]
[65.5710,65.6708]
[594.4937,596.3670]
[598.2191,600.0290]
[601.7761,603.4407]
[605.0040,606.4481]
[607.7569,608.9153]
[609.9104,610.7307]
[611.3671,611.8123]
[612.0613,612.1113]
[611.9616,611.6140]
[611.0724,610.3430]
[609.4340,608.3557]
[607.1204,605.7420]
[604.2362,602.6199]
[600.9116,599.1306]
[597.2970,595.4317]
[593.5558,591.6904]
[589.8569,588.0759]
[586.3676,584.7513]
[583.2455,581.8671]
[580.6317,579.5535]
[578.6445,577.9151]
[577.3735,577.0259]
[576.8762,576.9262]
[577.1751,577.6204]
[578.2568,579.0771]
[580.0722,581.2306]
[582.5393,583.9835]
[585.5468,587.2114]
[588.9585,590.7684]
[592.6204,594.4937]
[212.3045,596.7131,17.6313]
[229.9358,229.8359]
[229.5374,229.0436]
[228.3602,227.4948]
[226.4573,225.2595]
[223.9149,222.4387]
[220.8477,219.1600]
[217.3945,215.5714]
[213.7112,211.8351]
[209.9643,208.1201]
[206.3232,204.5942]
[202.9524,201.4167]
[200.0043,198.7313]
[197.6120,196.6593]
[195.8838,195.2943]
[194.8976,194.6981]
[194.6981,194.8976]
[195.2943,195.8838]
[196.6593,197.6120]
[198.7313,200.0043]
[201.4167,202.9524]
[204.5942,206.3232]
[208.1201,209.9643]
[211.8351,213.7112]
[215.5714,217.3945]
[219.1600,220.8477]
[222.4387,223.9149]
[225.2595,226.4573]
[227.4948,228.3602]
[229.0436,229.5374]
[229.8359,229.9358]
[596.7131,598.5872]
[600.4400,602.2507]
[603.9986,605.6639]
[607.2278,608.6726]
[609.9819,611.1409]
[612.1363,612.9570]
[613.5937,614.0391]
[614.2882,614.3382]
[614.1884,613.8407]
[613.2989,612.5692]
[611.6598,610.5810]
[609.3452,607.9662]
[606.4597,604.8428]
[603.1337,601.3519]
[599.5176,597.6515]
[595.7747,593.9086]
[592.0742,590.2925]
[588.5834,586.9665]
[585.4600,584.0810]
[582.8451,581.7664]
[580.8570,580.1273]
[579.5855,579.2378]
[579.0880,579.1380]
[579.3871,579.8325]
[580.4691,581.2899]
[582.2853,583.4443]
[584.7536,586.1983]
[587.7623,589.4276]
[591.1755,592.9861]
[594.8390,596.7131]
[1017.1903,617.7662,17.5873]
[1034.7776,1034.6780]
[1034.3802,1033.8877]
[1033.2059,1032.3427]
[1031.3078,1030.1130]
[1028.7718,1027.2993]
[1025.7123,1024.0287]
[1022.2676,1020.4490]
[1018.5935,1016.7221]
[1014.8560,1013.0164]
[1011.2240,1009.4992]
[1007.8616,1006.3297]
[1004.9208,1003.6510]
[1002.5345,1001.5842]
[1000.8106,1000.2226]
[999.8269,999.6279]
[999.6279,999.8269]
[1000.2226,1000.8106]
[1001.5842,1002.5345]
[1003.6510,1004.9208]
[1006.3297,1007.8616]
[1009.4992,1011.2240]
[1013.0164,1014.8560]
[1016.7221,1018.5935]
[1020.4490,1022.2676]
[1024.0287,1025.7123]
[1027.2993,1028.7718]
[1030.1130,1031.3078]
[1032.3427,1033.2059]
[1033.8877,1034.3802]
[1034.6780,1034.7776]
